@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@inputs Displacement, Horse_power, Weight, Acceleration, Model_year
@outputs Mpg
@data
91, 70, 1955, 20.5, 71, 26
232, 100, 2789, 15, 73, 18
350, 145, 4055, 12, 76, 13
318, 140, 4080, 13.7, 78, 17.5
113, 95, 2372, 15, 70, 24
97, 60, 1834, 19, 71, 27
350, 180, 4380, 12.1, 76, 16.5
400, 150, 4464, 12, 73, 13
225, 105, 3439, 15.5, 71, 16
173, 115, 2595, 11.3, 79, 28.8
70, 90, 2124, 13.5, 73, 18
97, 78, 2188, 15.8, 80, 34.3
86, 65, 1975, 15.2, 79, 34.1
351, 142, 4054, 14.3, 79, 15.5
350, 105, 3725, 19, 81, 26.6
156, 108, 2930, 15.5, 76, 19
115, 95, 2694, 15, 75, 23
231, 115, 3245, 15.4, 79, 21.5
198, 95, 3102, 16.5, 74, 20
140, 89, 2755, 15.8, 77, 25.5
121, 76, 2511, 18, 72, 22
85, 65, 2110, 19.2, 80, 40.8
250, 100, 3336, 17, 74, 15
112, 88, 2395, 18, 82, 34
429, 198, 4341, 10, 70, 15
168, 120, 3820, 16.7, 76, 16.5
225, 100, 3430, 17.2, 78, 20.5
107, 75, 2205, 14.5, 82, 36
97, 54, 2254, 23.5, 72, 23
304, 193, 4732, 18.5, 70, 9
140, 72, 2401, 19.5, 73, 21
71, 65, 1836, 21, 74, 32
90, 75, 2125, 14.5, 74, 28
91, 60, 1800, 16.4, 78, 36.1
98, 65, 2045, 16.2, 81, 34.4
98, 66, 1800, 14.4, 78, 36.1
351, 153, 4129, 13, 72, 14
318, 150, 3940, 13.2, 76, 13
120, 87, 2979, 19.5, 72, 21
116, 90, 2123, 14, 71, 28
85, 70, 2070, 18.6, 78, 39.4
85, 70, 1990, 17, 76, 32
250, 105, 3897, 18.5, 75, 16
151, 90, 2950, 17.3, 82, 27
79, 58, 1825, 18.6, 77, 36
250, 88, 3021, 16.5, 73, 18
156, 122, 2807, 13.5, 73, 20
225, 95, 3785, 19, 75, 18
90, 71, 2223, 16.5, 75, 25
112, 85, 2575, 16.2, 82, 31
350, 180, 3664, 11, 73, 11
400, 230, 4278, 9.5, 73, 16
440, 215, 4312, 8.5, 70, 14
151, 90, 2678, 16.5, 80, 28
168, 116, 2900, 12.6, 81, 25.4
225, 100, 3630, 17.7, 77, 19
140, 86, 2790, 15.6, 82, 27
231, 110, 3907, 21, 75, 17
110, 87, 2672, 17.5, 70, 25
89, 71, 1990, 14.9, 78, 31.5
121, 98, 2945, 14.5, 75, 22
156, 105, 2745, 16.7, 78, 23.2
91, 67, 1965, 15.7, 82, 32
98, 83, 2219, 16.5, 74, 29
134, 90, 2711, 15.5, 80, 29.8
351, 148, 4657, 13.5, 75, 14
122, 88, 2500, 15.1, 80, 35
122, 86, 2220, 14, 71, 23
146, 120, 2930, 13.8, 81, 24.2
89, 71, 1925, 14, 79, 31.9
98, 80, 2164, 15, 72, 28
79, 67, 1950, 19, 74, 31
97, 52, 2130, 24.6, 82, 44
250, 105, 3353, 14.5, 76, 22
97, 67, 2065, 17.8, 81, 32.3
98, 80, 1915, 14.4, 79, 35.7
302, 139, 3205, 11.2, 78, 18.1
400, 175, 4385, 12, 72, 14
