building_id,damage_grade
300051,3
99355,2
890251,1
745817,1
421793,3
871976,3
691228,1
896100,3
343471,3
766647,2
800548,1
652685,3
590834,3
612530,3
535718,1
269418,1
281421,3
797571,3
216579,2
81554,2
132785,2
976125,3
851237,1
322922,2
786774,2
922680,3
134349,3
551456,2
194812,2
520031,3
765502,3
517764,1
174470,1
395012,3
159776,3
62638,3
65760,3
761527,3
37201,1
853163,3
562505,3
349010,3
780817,1
179897,3
845103,3
171560,1
586661,3
84102,2
610806,3
269531,3
3781,2
127674,2
820462,2
955190,3
405557,2
143219,3
360041,1
378036,3
613583,3
992040,3
849585,3
491236,3
847580,3
229211,3
173624,1
642562,2
86467,1
684629,1
304627,1
255913,3
861624,3
367328,1
13216,3
838446,3
981040,2
335849,2
823769,3
666855,2
398783,2
829946,1
326177,3
359387,3
924578,1
712624,1
946541,2
373943,1
865274,1
522404,2
841632,3
649142,1
332157,1
722082,1
279597,1
107512,2
26477,1
138895,3
553866,1
157718,3
582842,3
123399,3
189875,3
70843,1
225218,1
703273,3
245176,3
760257,3
641933,1
76772,3
302226,2
535232,3
311900,1
859468,3
496582,3
970295,1
38184,1
533972,3
787930,1
706637,3
684359,3
744804,2
675284,2
900064,1
13833,2
483231,3
993785,2
91756,1
116435,3
27649,2
806119,3
527762,1
119879,1
521901,3
960588,2
150992,1
136949,2
681857,3
676342,3
85413,3
242230,3
46916,3
343837,3
693348,3
826208,1
639042,1
180348,3
997642,1
1014983,3
995476,2
599482,3
405738,1
209844,3
51119,1
1009242,1
260072,3
504317,1
678345,3
96671,1
738466,1
475174,1
767788,2
73477,1
140388,3
514634,3
59716,3
1038485,3
531485,3
666051,3
799813,1
420703,2
589536,3
661373,3
183074,3
875195,3
734876,3
988161,3
596967,3
370776,3
422000,1
829879,3
622400,1
789622,2
780895,1
14602,3
988846,3
1052375,3
101200,3
1005009,3
892887,3
582579,3
643663,3
420773,1
593771,2
678254,1
842277,2
797666,3
247831,3
987658,1
738804,3
803821,3
450829,1
490713,3
317799,2
260213,1
563507,1
890921,3
358475,2
877097,3
611331,3
140112,3
489116,1
751219,3
637592,1
363399,3
349807,3
1010213,3
274275,1
422044,1
635742,1
162240,3
380659,3
39235,2
594817,2
276267,2
622421,3
411651,3
528011,3
851293,1
669376,1
1753,1
638718,2
751101,3
559460,1
76515,1
80460,1
553776,1
312150,1
772309,3
437345,1
487537,3
393387,3
891125,1
1023631,3
107261,1
126191,2
137116,3
929006,2
222150,2
910002,3
86044,3
176074,2
153074,1
610702,1
856941,3
617478,2
485928,3
922208,1
306370,3
236678,3
419900,3
699568,1
771219,2
991482,3
211384,2
607193,3
911675,1
526435,2
303475,1
592882,3
715235,3
493169,3
981940,2
991842,3
942957,1
547080,2
636191,1
823756,3
151559,2
467575,1
17506,2
356258,1
235542,2
950690,3
715814,3
755888,3
550420,3
447977,2
490413,3
497546,3
975798,3
27136,3
705001,3
827358,3
812768,3
198545,3
69810,1
687284,3
169271,1
560991,3
89659,2
196494,3
978469,3
541401,1
762181,3
887981,1
974381,1
214827,3
14115,1
150603,3
236827,3
