building_id,damage_grade
300051,3
99355,3
890251,1
745817,1
421793,3
871976,2
691228,2
896100,3
343471,2
766647,2
800548,1
652685,2
590834,3
612530,3
535718,1
269418,1
281421,1
797571,3
216579,2
81554,2
132785,2
976125,3
851237,3
322922,3
786774,2
922680,2
134349,3
551456,2
194812,2
520031,3
765502,3
517764,1
174470,2
395012,3
159776,3
62638,2
65760,3
761527,2
37201,2
853163,2
562505,2
349010,3
780817,2
179897,1
845103,3
171560,3
586661,3
84102,2
610806,3
269531,3
3781,2
127674,2
820462,2
955190,2
405557,2
143219,3
360041,1
378036,2
613583,3
992040,3
849585,2
491236,3
847580,3
229211,3
173624,1
642562,2
86467,2
684629,2
304627,2
255913,3
861624,3
367328,2
13216,3
838446,2
981040,2
335849,2
823769,2
666855,2
398783,3
829946,1
326177,3
359387,3
924578,1
712624,1
946541,2
373943,1
865274,1
522404,2
841632,3
649142,1
332157,1
722082,1
279597,1
107512,2
26477,2
138895,3
553866,3
157718,3
582842,3
123399,2
189875,2
70843,1
225218,2
703273,3
245176,3
760257,3
641933,1
76772,3
302226,1
535232,3
311900,2
859468,3
496582,3
970295,2
38184,2
533972,3
787930,2
706637,2
684359,2
744804,3
675284,2
900064,1
13833,2
483231,3
993785,3
91756,3
116435,3
27649,2
806119,2
527762,1
119879,1
521901,2
960588,2
150992,1
136949,1
681857,3
676342,3
85413,3
242230,3
46916,3
343837,3
693348,2
826208,3
639042,1
180348,3
997642,2
1014983,3
995476,2
599482,2
405738,2
209844,2
51119,3
1009242,3
260072,1
504317,2
678345,1
96671,1
738466,2
475174,1
767788,1
73477,1
140388,3
514634,3
59716,3
1038485,3
531485,1
666051,3
799813,1
420703,2
589536,2
661373,3
183074,3
875195,3
734876,2
988161,2
596967,3
370776,3
422000,1
829879,3
622400,2
789622,3
780895,1
14602,3
988846,3
1052375,3
101200,2
1005009,3
892887,3
582579,2
643663,2
420773,1
593771,2
678254,1
842277,2
797666,3
247831,3
987658,2
738804,3
803821,3
450829,2
490713,3
317799,2
260213,2
563507,1
890921,3
358475,2
877097,3
611331,2
140112,2
489116,1
751219,3
637592,1
363399,1
349807,3
1010213,2
274275,2
422044,1
635742,1
162240,3
380659,3
39235,2
594817,2
276267,2
622421,2
411651,3
528011,3
851293,1
669376,2
1753,1
638718,2
751101,3
559460,3
76515,1
80460,1
553776,1
312150,1
772309,2
437345,2
487537,3
393387,3
891125,1
1023631,2
107261,2
126191,2
137116,3
929006,2
222150,2
910002,3
86044,3
176074,2
153074,1
610702,1
856941,2
617478,2
485928,2
922208,1
306370,3
236678,3
419900,3
699568,3
771219,2
991482,3
211384,3
607193,3
911675,1
526435,2
303475,2
592882,3
715235,3
493169,2
981940,3
991842,3
942957,1
547080,2
636191,2
823756,2
151559,2
467575,1
17506,3
356258,1
235542,2
950690,2
715814,3
755888,3
550420,2
447977,2
490413,3
497546,2
975798,2
27136,2
705001,3
827358,3
812768,3
198545,2
69810,1
687284,3
169271,2
560991,3
89659,2
196494,3
978469,3
541401,1
762181,3
887981,2
974381,1
214827,3
14115,1
150603,3
236827,3
826290,2
1016586,3
417251,2
199989,3
41040,2
329865,3
446380,3
573543,1
79534,2
543998,3
675804,1
631605,1
715430,2
727165,3
453777,3
887410,1
808062,2
1953,3
540933,2
623996,2
352967,3
709290,1
68067,2
968956,2
1012455,2
774608,2
240334,3
696228,2
559784,1
769031,3
474176,3
507163,2
603898,2
759753,3
645053,1
847961,3
163437,1
205013,2
937195,2
817641,3
343929,3
734640,3
906212,3
1001446,3
42716,2
419453,3
340413,3
721995,2
652323,1
458622,3
1005075,2
331964,1
931599,2
180058,2
1035486,1
922921,1
691109,3
244922,3
124734,2
545585,2
51735,3
668804,3
817800,3
505387,1
927828,2
667734,3
71864,2
275425,1
253666,3
38136,3
1045388,2
834056,2
830675,3
172719,2
281148,1
940273,2
321838,2
486381,2
653205,3
835269,3
81648,1
172425,3
727971,3
928472,2
895215,3
1023647,3
997859,2
29304,2
57153,3
528607,2
749817,2
706544,2
760999,2
778465,3
987945,3
177903,1
639871,1
829665,2
823007,1
877761,3
960378,3
994124,3
461282,2
569582,2
474338,1
446462,3
489129,2
66319,2
639951,3
4119,2
359974,1
543191,2
595402,3
1022182,1
216000,3
938235,3
292853,2
904254,3
694129,2
63746,3
925788,2
1040364,2
231970,2
667627,3
24760,2
281116,2
628374,2
927502,2
917261,1
925061,3
754879,3
648017,3
1048403,1
345848,1
206436,3
163503,1
612314,3
319962,3
652056,2
1014522,2
13140,2
214595,3
766431,3
127828,3
762655,3
79942,2
531579,3
762192,1
