@relation autoMPG6
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Mpg real[9.0,46.6]
@inputs Displacement, Horse_power, Weight, Acceleration, Model_year
@outputs Mpg
@data
85, 65, 2020, 19.2, 79, 31.8
151, 85, 2855, 17.6, 78, 23.8
260, 90, 3420, 22.2, 79, 23.9
97, 78, 1940, 14.5, 77, 29
97, 78, 2190, 14.1, 77, 30.5
258, 120, 3410, 15.1, 78, 18.1
351, 138, 3955, 13.2, 79, 16.5
200, 85, 2990, 18.2, 79, 19.8
134, 96, 2702, 13.5, 75, 24
98, 83, 2075, 15.9, 77, 33.5
360, 170, 4654, 13, 73, 13
122, 86, 2226, 16.5, 72, 21
122, 80, 2451, 16.5, 74, 26
105, 75, 2230, 14.5, 78, 30.9
318, 150, 3755, 14, 76, 13
200, 81, 3012, 17.6, 76, 24
232, 90, 3210, 17.2, 78, 19.4
151, 90, 3003, 20.1, 80, 24.3
88, 76, 2065, 14.5, 71, 30
302, 130, 3870, 15, 76, 13
318, 150, 4498, 14.5, 75, 16
98, 68, 2135, 16.6, 78, 29.5
121, 112, 2868, 15.5, 73, 19
400, 150, 4997, 14, 73, 11
400, 175, 4464, 11.5, 71, 14
79, 67, 1963, 15.5, 74, 26
90, 70, 1937, 14.2, 76, 29
304, 150, 3892, 12.5, 72, 15
97, 67, 2145, 18, 80, 33.8
121, 112, 2933, 14.5, 72, 18
305, 140, 4215, 13, 76, 17.5
121, 113, 2234, 12.5, 70, 26
250, 100, 3781, 17, 74, 16
318, 150, 3777, 12.5, 73, 15
350, 165, 4209, 12, 71, 14
90, 70, 1937, 14, 75, 29
134, 95, 2515, 14.8, 78, 21.1
78, 52, 1985, 19.4, 78, 32.8
107, 75, 2210, 14.4, 81, 33.7
250, 78, 3574, 21, 76, 18
173, 115, 2700, 12.9, 79, 26.8
86, 65, 2110, 17.9, 80, 46.6
91, 53, 1795, 17.4, 76, 33
81, 60, 1760, 16.1, 81, 35.1
151, 84, 2635, 16.4, 81, 26.6
350, 145, 3988, 13, 73, 13
383, 180, 4955, 11.5, 71, 12
105, 70, 2150, 14.9, 79, 34.5
199, 90, 2648, 15, 70, 21
121, 115, 2795, 15.7, 78, 21.6
390, 190, 3850, 8.5, 70, 15
400, 170, 4668, 11.5, 75, 16
89, 62, 2050, 17.3, 81, 37.7
121, 80, 2670, 15, 79, 27.4
455, 225, 3086, 10, 70, 14
91, 67, 1995, 16.2, 82, 38
225, 90, 3381, 18.7, 80, 19.1
232, 90, 3085, 17.6, 76, 22.5
85, 70, 1945, 16.8, 77, 33.5
135, 84, 2385, 12.9, 81, 30
140, 88, 2870, 18.1, 80, 26.4
400, 190, 4325, 12.2, 77, 15.5
350, 150, 4699, 14.5, 74, 13
305, 130, 3840, 15.4, 79, 17
267, 125, 3605, 15, 79, 19.2
120, 88, 2957, 17, 75, 23
231, 165, 3445, 13.4, 78, 17.7
155, 107, 2472, 14, 73, 21
302, 140, 4294, 16, 72, 13
108, 94, 2379, 16.5, 73, 22
156, 105, 2800, 14.4, 80, 27.9
140, 88, 2890, 17.3, 79, 22.3
318, 150, 4457, 13.5, 74, 14
200, 85, 2587, 16, 70, 21
140, 72, 2565, 13.6, 76, 26.5
318, 145, 4140, 13.7, 77, 15.5
121, 115, 2671, 13.5, 75, 25
79, 70, 2074, 19.5, 71, 30
262, 110, 3221, 13.5, 75, 20
